title,release_date,budget,revenue,runtime,genres,release_year
Red Diaries,2001-07-31,0.0,0.0,156.0,"['Comedy', 'Drama', 'Romance']",2001
Zoolander,2001-09-28,28000000.0,60780981.0,89.0,['Comedy'],2001
A Colder Kind of Death,2001-01-09,0.0,0.0,90.0,"['Mystery', 'Thriller', 'Crime', 'TV Movie']",2001
Meghasandesam,2001-04-26,0.0,0.0,141.0,['Horror'],2001
Waging Peace: A Year in the Life of Caledonia Junior High,2001-09-04,0.0,0.0,70.0,['Documentary'],2001
Camarate,2001-04-30,0.0,0.0,100.0,"['Drama', 'Action']",2001
Viswanathan Ramamoorthy,2001-08-10,0.0,0.0,130.0,"['Romance', 'Comedy', 'Drama']",2001
Rock Star,2001-09-04,57000000.0,19334145.0,105.0,"['Music', 'Drama', 'Comedy']",2001
The One,2001-11-02,49000000.0,72689126.0,87.0,"['Action', 'Science Fiction', 'Thriller']",2001
The Pledge,2001-01-19,35000000.0,29419291.0,124.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",2001
